Track,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
If You Want Me to Stay,1973,180493,4,0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,63,R&B
She’s Not Just Another Woman,1971,186000,4,0.716,0.864,9,-4.782,0,0.192,0.257,0.0,0.0544,0.874,80.332,12,Pop
The Most Beautiful Girl,1973,161906,4,0.576,0.318,7,-14.366,1,0.0286,0.661,7.47e-06,0.167,0.41,103.493,59,Country
Close My Eyes Forever,1989,283000,4,0.476,0.331,5,-14.884,1,0.0305,0.31,2.82e-06,0.172,0.24,130.574,59,Pop
In The Still Of The Nite,1993,169000,4,0.537,0.184,9,-15.886,1,0.038,0.792,0.0,0.126,0.22,77.813,42,Pop
White Room,2021,293000,4,0.428,0.829,0,-4.913,1,0.0338,7.25e-05,0.0381,0.163,0.309,113.03,15,Rock
Wake Up Little Susie,1957,123000,4,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,55,Pop
The End Of The Innocence,1989,315000,4,0.623,0.425,8,-13.045,1,0.0291,0.306,8.65e-05,0.108,0.392,116.593,59,Pop
No More Mr. Nice Guy - Live in Columbus,2017,190000,4,0.391,0.979,8,-4.054,1,0.12,0.00239,0.0,0.776,0.396,130.902,5,Metal
So Glad You're Mine - Remastered 2003,1946,165426,4,0.667,0.319,0,-10.968,1,0.0823,0.935,9.09e-06,0.0771,0.647,79.809,2,Blues
Never Can Say Goodbye,1975,179000,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,55,Pop
911,2019,127022,4,0.68,0.414,6,-7.873,0,0.323,0.00383,0.0,0.0783,0.131,106.943,65,Rap
Best Of My Love,1977,220000,4,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,71,Pop
Susan,1968,157000,4,0.638,0.537,8,-7.061,1,0.414,0.558,0.0,0.167,0.42,89.539,56,Pop
Could It Be I’m Falling in Love,1972,249733,4,0.382,0.727,9,-6.677,0,0.0861,0.729,0.0,0.196,0.826,207.266,19,R&B
Things Are Changin' - Solo Acoustic; Live,2011,271160,4,0.734,0.311,9,-9.47,1,0.0375,0.903,0.016,0.198,0.357,85.672,42,Blues
Key To The Highway,1961,138986,4,0.412,0.417,7,-11.856,1,0.0371,0.801,1.29e-06,0.288,0.748,98.731,15,Blues
Jesus Was a Communist,1982,104426,4,0.411,0.763,0,-5.09,1,0.0356,0.000942,0.0326,0.285,0.382,87.476,19,Punk
Into the Crypts of Rays,1984,219306,4,0.154,0.968,11,-6.938,0,0.0861,1.73e-06,0.772,0.626,0.252,168.839,37,Metal
Big Takeover - Live,1982,206640,4,0.304,0.982,4,-9.012,1,0.0974,0.000106,0.753,0.943,0.0999,112.755,7,Punk
I Want to Go with You,1966,159413,3,0.307,0.22,1,-12.057,1,0.0302,0.891,3.09e-05,0.146,0.514,111.355,14,Country
Ruby Tuesday,1967,196000,4,0.524,0.553,0,-10.767,1,0.0292,0.831,0.0,0.174,0.517,104.578,65,Pop
West Side Baby,1950,165906,3,0.579,0.123,8,-14.505,1,0.112,0.897,0.000222,0.0903,0.492,178.259,14,Blues
Keeper Of The Castle,1973,176000,4,0.57,0.625,8,-7.548,1,0.0347,0.47,0.0,0.0922,0.962,78.342,27,Pop
Bombshell - 2007 Remaster,2007,63600,4,0.281,0.956,2,-3.565,1,0.151,0.0528,0.00502,0.323,0.837,174.459,44,Punk
Mirrorball,2010,288000,3,0.33,0.215,8,-11.636,1,0.039,0.883,0.000948,0.0564,0.0744,120.084,13,Rock
The Image Of Me,1968,148600,4,0.581,0.265,7,-11.808,1,0.104,0.754,0.0,0.132,0.748,72.582,1,Country
Shake You Down,1987,211000,4,0.457,0.613,9,-5.756,1,0.0295,0.00463,0.000406,0.0711,0.132,105.111,59,Pop
Freddie's Dead,1972,328333,4,0.542,0.806,1,-6.299,0,0.0813,0.106,0.000523,0.0709,0.922,91.289,31,R&B
History - Remastered 2016,1997,326093,4,0.338,0.638,2,-7.989,1,0.0332,0.105,0.0,0.102,0.113,133.99,42,Alt. Rock
The Mighty Quinn,1968,173000,4,0.599,0.703,11,-7.058,1,0.0502,0.442,0.0,0.232,0.887,92.828,39,Pop
Love Can Build A Bridge,1990,322706,4,0.566,0.167,11,-12.055,1,0.0301,0.732,3.07e-06,0.0939,0.185,132.657,50,Country
Innuendo,1991,393000,4,0.209,0.731,1,-5.751,1,0.0665,0.185,0.00484,0.296,0.172,74.168,39,Rock
"Baby,Now That I've Found You",1995,228933,4,0.725,0.239,8,-14.325,1,0.031,0.908,0.00675,0.117,0.435,115.545,48,Country
If I Were Your Woman - Single Version,1970,194533,4,0.472,0.492,6,-10.435,1,0.0583,0.711,0.107,0.679,0.555,74.09,43,R&B
Spaceman,2008,284546,4,0.525,0.904,4,-5.488,1,0.0532,0.00257,0.000648,0.12,0.803,151.988,62,Alt. Rock
Jump,1992,218000,4,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,76,Pop
Everybody's Happy Nowadays - 2001 Remastered Version,2001,191066,4,0.535,0.802,7,-7.472,0,0.137,0.00347,6.2e-06,0.18,0.598,110.591,42,Punk
Mars Meets Venus,1997,188000,4,0.604,0.898,11,-4.814,1,0.0548,0.000631,0.000413,0.368,0.336,113.888,13,Rock
UMI Says,1999,305280,4,0.72,0.67,2,-10.224,1,0.132,0.305,0.0,0.0928,0.566,121.342,52,Rap
Blues After Hours,1969,303373,3,0.456,0.234,7,-15.507,1,0.0319,0.397,0.0714,0.309,0.325,174.975,16,Blues
Come Undone,1993,256000,4,0.542,0.793,8,-8.203,1,0.0528,0.0423,3.9e-06,0.0814,0.709,173.928,69,Pop
Elvenpath - Remastered,1997,277866,4,0.428,0.93,9,-4.054,1,0.117,0.00033,0.279,0.142,0.138,145.481,34,Metal
Saving Forever For You,1993,268000,4,0.655,0.545,9,-8.163,1,0.0342,0.494,0.0,0.0417,0.463,133.358,40,Pop
